# Matter power spectrum P(k) at redshift z=0
# for k=1.04906e-05 to 532.088 h/Mpc,
# number of wavenumbers equal to 629
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049057021273e-05       4.731809647102e+01 
       2.342383614018e-05       1.028106308727e+02 
       3.640294897250e-05       1.574011605945e+02 
       4.946311501133e-05       2.116513838192e+02 
       6.264012752725e-05       2.658856738880e+02 
       7.597068850596e-05       3.203500341419e+02 
       8.949274076187e-05       3.752567562272e+02 
       1.032458148694e-04       4.308027746207e+02 
       1.172713953962e-04       4.871791430615e+02 
       1.316133109557e-04       5.445768148038e+02 
       1.463181526029e-04       6.031907067573e+02 
       1.614357250291e-04       6.632229068130e+02 
       1.770195348246e-04       7.248853967287e+02 
       1.931273196842e-04       7.884026633678e+02 
       2.098216217345e-04       8.540140967750e+02 
       2.271704070266e-04       9.219764609580e+02 
       2.452477314786e-04       9.925663476992e+02 
       2.641344509460e-04       1.066082668925e+03 
       2.839189693541e-04       1.142849141042e+03 
       3.046980135971e-04       1.223216769182e+03 
       3.265774168024e-04       1.307566165589e+03 
       3.496728821504e-04       1.396309628219e+03 
       3.741106873427e-04       1.489892935326e+03 
       4.000282747855e-04       1.588796329586e+03 
       4.275746546371e-04       1.693534709569e+03 
       4.569105276933e-04       1.804656527833e+03 
       4.882080141357e-04       1.922740957217e+03 
       5.216498552435e-04       2.048392887350e+03 
       5.574279427139e-04       2.182235247927e+03 
       5.957410305203e-04       2.324898122726e+03 
       6.367915050729e-04       2.477004524354e+03 
       6.807811390405e-04       2.639152234801e+03 
       7.279058388673e-04       2.811892628647e+03 
       7.783495168138e-04       2.995706657649e+03 
       8.322773670012e-04       3.190979355018e+03 
       8.898289810102e-04       3.397974944965e+03 
       9.511118697068e-04       3.616814721659e+03 
       1.016196025635e-03       3.847459759585e+03 
       1.085110131063e-03       4.089701465756e+03 
       1.157839876164e-03       4.343160566668e+03 
       1.234328614615e-03       4.607295948268e+03 
       1.314480294739e-03       4.881422141892e+03 
       1.398164325384e-03       5.164734087456e+03 
       1.485221826798e-03       5.456336339881e+03 
       1.575472615624e-03       5.755273968644e+03 
       1.668722285789e-03       6.060562838803e+03 
       1.764768850731e-03       6.371216156957e+03 
       1.863408568279e-03       6.686267890940e+03 
       1.964440736971e-03       7.004790335514e+03 
       2.067671400801e-03       7.325907844456e+03 
       2.172916011237e-03       7.648805721710e+03 
       2.280001166490e-03       7.972735090911e+03 
       2.388765583080e-03       8.297014749232e+03 
       2.499060462314e-03       8.621030375680e+03 
       2.610749404036e-03       8.944233339316e+03 
       2.723707999917e-03       9.266133671167e+03 
       2.837823214794e-03       9.586300958786e+03 
       2.952992641051e-03       9.904354392934e+03 
       3.069123689855e-03       1.021996167490e+04 
       3.186132765289e-03       1.053283389165e+04 
       3.303944453188e-03       1.084271893754e+04 
       3.422490745434e-03       1.114940072464e+04 
       3.541710312294e-03       1.145269123535e+04 
       3.661547829415e-03       1.175243162639e+04 
       3.781953361944e-03       1.204848635861e+04 
       3.902881805415e-03       1.234074019752e+04 
       4.024292381232e-03       1.262909850404e+04 
       4.146148183490e-03       1.291348364531e+04 
       4.268415773293e-03       1.319382920138e+04 
       4.391064816466e-03       1.347008575897e+04 
       4.514067760607e-03       1.374221523399e+04 
       4.637399547514e-03       1.401018521552e+04 
       4.761037357298e-03       1.427396831308e+04 
       4.884960380739e-03       1.453355629055e+04 
       5.009149616781e-03       1.478894765350e+04 
       5.133587692318e-03       1.504018635367e+04 
       5.258258701750e-03       1.528718946731e+04 
       5.383148064040e-03       1.552999401137e+04 
       5.508242395263e-03       1.576868054562e+04 
       5.633529394865e-03       1.600315126308e+04 
       5.758997744043e-03       1.623356055808e+04 
       5.884637014884e-03       1.645984793060e+04 
       6.010437588999e-03       1.668203222846e+04 
       6.136390584603e-03       1.690012560953e+04 
